"Name","Latitude","Longitude","Elevation","X","Y","Z"
"A94900HUN","","","","3977602.7564"," 1669897.2430"," 4682450.3304"
"A76400FRA","","","","4430913.1469","  404989.2779"," 4554956.9580"
"A91200BEL","","","","4068599.0661","  330888.8748"," 4884780.7669"
"A11500FRA","","","","4283999.5805"," -213578.6150"," 4704822.9249"
"B01400FRA","","","","4240565.2688"," -256019.4954"," 4741701.9229"
"B11400FRA","","","","4278348.3614","   96424.5221"," 4713764.7121"
"A48400HUN","","","","3960091.7769"," 1538685.8926"," 4741503.0994"
"A14800FRA","","","","4096903.5742","  133427.1250"," 4870293.6760"
"A87300FRA","","","","4623292.2885","  -77418.9527"," 4378536.8548"
"B01900FRA","","","","4155679.5984","  317335.1782"," 4812094.1495"
"A87500HUN","","","","4080795.1524"," 1485271.5383"," 4655906.5414"
"A50300FRA","","","","4267688.2799","  -78151.7816"," 4723748.7793"
"A79400FRA","","","","4397868.4466"," -125090.3428"," 4602407.0058"
"B15500SER","","","","4172988.4328"," 1517366.0945"," 4563545.5760"
"A32600FRA","","","","4622339.7786","  173179.0104"," 4377025.6599"
"A53800FRA","","","","4234054.3342","  260529.0662"," 4747155.6847"
"A85400FRA","","","","4552116.4299","   51506.1898"," 4452518.2650"
"A86400FRA","","","","4397095.6005","  387851.3281"," 4588819.4638"
"B28800HUN","","","","4142597.7462"," 1554760.2271"," 4578510.7002"
"B12500DNK","","","","3567263.1458","  581845.0250"," 5237671.4712"
"A67900FRA","","","","4640976.5643","  281124.4249"," 4351569.5619"
"A85000FRA","","","","4615611.8062","  104029.1360"," 4386228.5816"
"A71300FRA","","","","4233112.4340","   78623.6366"," 4754590.4427"
"B35100DNK","","","","3479910.2969","  543511.3206"," 5299705.4307"
"B22900DNK","","","","3537995.7252","  608534.3303"," 5254327.4091"
"A76500FRA","","","","4279131.0474"," -263854.0441"," 4706606.6090"
"B02200DNK","","","","3477711.7920","  537752.4623"," 5301730.1274"
"B10800DNK","","","","3458346.5660","  553832.7969"," 5312666.3606"
"B24000DNK","","","","3455903.2705","  520253.8153"," 5317622.4159"
"A33300FRA","","","","4620956.7018","  312164.7128"," 4370588.8827"
"B32500FRA","","","","4339453.8099","  -13184.3935"," 4658826.9770"
"A93600BEL","","","","4052734.7602","  346892.8005"," 4896620.5514"
